Name,Price,PriceScore,Processor Type,ProcessorScore,RAM,RAMScore,Hard Disk,StorageScore,Graphics Card,GraphicsScore,Screen Size,ScreenScore,TotalScore,NormalizedScore
Lenovo Yoga 7 Core i7 13th Gen Laptop,120000.0,0.0,Core i7-13th Gen,9.7,16.0,8.0,512GB NVMe Express Drive,9.0,Intel Iris Xe- 8GB,5,"16"" FHD",10.0,6.01,62.74078315196042
"HP Probook 4440S i3 3rd Gen 8GB RAM 14"" Laptop",12990.0,9.784115523465704,Intel Core i3-3120M 3rd Gen,1.5,8.0,4.0,500 GB HDD,5.90625,Intel HD 4000,3,"14"" HD LED Display",9.0,6.008958709386282,62.72579888852157
"Lenovo 80XH Core i3 6th Gen 15.6"" Display Laptop",15000.0,9.63898916967509,Intel Core i3 6th Gen,3.5999999999999996,4.0,2.0,128 GB,6.0,Intel HD Graphics 520,3,"15.6"" LED",9.8,5.985595667870037,62.38960266798463
"Dell Latitude 3190 Intel Pentium 11.6"" Touch Laptop",14000.0,9.711191335740072,Intel Pentium,3.3,4.0,2.0,128 GB,6.0,Intel UHD graphics 600,4,11.6'' HD Touch,7.8,5.974476534296029,62.22959735871755
Dell Latitude 3190 Pentium N5030 Touch Laptop,13500.0,9.747292418772563,Intel Pentium Silver N5030 Processor,3.3,4.0,2.0,200GB,6.5625,Intel HD Graphics 505,3,"11.6"" backlight Touch screen",7.8,5.967041967509026,62.12261328931109
HP Probook X360 11E Pentium 9th Gen,13500.0,9.747292418772563,Intel Pentium 9th Gen,3.3,4.0,2.0,128GB,6.0,Built-In,3,"‎11.6"" with ‎1366 x 768 pixels Touch",7.8,5.938916967509026,61.717892067717315
Apple MacBook Air 2014 Core i7 256GB SSD Laptop,40000.0,7.833935018050542,Intel Core i7,5.5,4.0,2.0,256 GB M.2 NVME,7.0,2 GB Intel UHD Graphics,4,"14"" 4K  Supported FHD IPS Display",9.0,5.933574007220217,61.64100639962794
Dell Latitude 3189 X360 Pentium 8th Gen Laptop,14000.0,9.711191335740072,QuaCore Pentium 8th Generation,3.3,4.0,2.0,128GB M.2,6.0,Integrated Intel HD Graphics,3,"12"" HD Display Touchscreen Display",8.0,5.924476534296029,61.51009296477306
"HP EliteBook 830 G7 Core-i5 10th Gen 13.3"" Touch Laptop",49000.0,4.934115523465704,Intel Core i5-10210U Processor,7.0,8.0,4.0,512GB NVMe M.2,9.0,Intel UHD Graphics,4,"13.3"" Diagonal FHD Touch",8.65,5.923646209386282,61.49814451635376
HP Victus 15-fa0998TX Core i5 12th Gen Gaming Laptop,83000.0,0.0,Intel Core i5-12450H 12th Generation,8.4,16.0,8.0,1 TB NVME,10.0,NVIDIA GeForce RTXTM 3050 4GB GDDR6 Dedicated,10,"15.6"" FHD 144 Hz Display",9.8,5.92,61.44567524286032
HP Zbook Firefly 16 G9 Core i7 12th Mobile Workstation,83999.0,0.0,Intel Core i7-1265U 12th Generation,9.0,16.0,8.0,512GB NVMe,9.0,Intel Ultra HD 8GB shared with NVIDIA T550 4GB GDDR6 dedicated graphics card,7,"16"" Diagonal, 1920 x 1200p, IPS, anti-glare, micro-edge, 400 nits, 100% sRGB",10.0,5.8999999999999995,61.15787348528253
Dell XPS 13 7390 Core i7 10th Gen Touchscreen Laptop,60000.0,1.3898916967509027,Intel Core i7-10710U 10th Generation,7.6,16.0,8.0,512GB PCIe NVMe,9.0,Intel UHD Graphics 620,4,13.3 Inch 4K UHD+ 3840 x 2400p Touchscreen Display,8.65,5.885956678700361,60.95578885766925
HP Elitebook 840 G9 Core i5 12th Gen 16GB RAM,61499.0,0.9069106498194932,Core-i5 1245U 12th Gen,8.4,16.0,8.0,256 GB,7.0,Intel Iris X Graphics,5,"14"" diagonal, WUXGA 1920 x 1200p, IPS, anti-glare, 400 nits, 100% sRGB",9.0,5.8827642599277965,60.90984967098581
HP EliteBook 845 G10 Ryzen 5 Pro 7545U Laptop,70000.0,0.0,AMD Ryzen 5 Pro 7545U,9.1,16.0,8.0,512GB PCIe 3.0 x4 NVMe Value,9.0,AMD Radeon Graphics,6,"14"" diagonal WUXGA LED UWVA Anti-Glare, 250 Nits",9.0,5.88,60.87007172770473
HP EliteBook 845 G10 Ryzen 5 Pro 7540U 512GB SSD,65000.0,0.0,AMD Ryzen 5 Pro 7540U,9.1,16.0,8.0,512GB PCIe NVMe TLC,9.0,Radeon 740M Graphics,6,"14"" diagonal, WUXGA IPS, anti-glare, 400 nits, 100% sRGB",9.0,5.88,60.87007172770473
Lenovo ThinkPad P1 Gen 2 Core i7 9th Gen Workstation,75000.0,0.0,Intel Core i7-9850H 9th Gen,6.899999999999999,32.0,10.0,512GB,9.0,NVIDIA Quadro T1000 4GB,7,"15.6"" UHD  Display",9.8,5.869999999999999,60.726170848915814
"HP Pavilion 115-cs Core i7 8th Gen 8GB RAM 15.6"" Laptop",48000.0,5.256317689530686,Intel Core i7-8750H 8th Generation,6.199999999999999,8.0,4.0,128GB NVME M.2 SSD + 1TB HDD,10.0,4GB intel UHD Graphics,4,15.6 Inch Diagonal HD SVA Bright View WLED-Backlit,9.8,5.862527075812274,60.61863481314216
Lenovo ThinkPad 11e Yoga 6th Gen 360 Rotated Laptop,15000.0,9.63898916967509,Intel Dual Core 6th generation,2.9999999999999996,4.0,2.0,128GB,6.0,Integrated Intel UHD Graphics 615,4,"13.1"" Inch HD Touchscreen",8.55,5.855595667870036,60.51889124372892
Lenovo ThinkPad T14s Gen 3 Core i7 12th Gen Laptop,84999.0,0.0,Intel Core i7-1280P 12th Gen with vPro Processor,9.0,16.0,8.0,1TB PCIe M.2 NVMe Class 35 Solid State Drive,10.0,Intel Iris XE Graphics,5,14 inch WUXGA IPS Display,9.0,5.85,60.43836909133802
HP ZBook Firefly 14 G8 Core i7 11th Gen 14-inch Touch,62000.0,0.7454873646209386,Intel Core i7 11th Generation,8.299999999999999,16.0,8.0,512GB PCIe Gen 3 x4 NVMe M.2 2280 TLC,9.0,Intel UHD Graphics,4,14-inch Diagonal FHD IPS eDP Touchscreen 45% NTSC at 250 nits,9.0,5.838194945848375,60.26849332468108
HP Pavilion 14 Plus Core i5 13th Gen,66000.0,0.0,Intel Core i5-13500H,9.1,16.0,8.0,512GB PCIe NVMe TLC M.2,9.0,Intel Iris Xe Graphics,5,"14-inch diagonal with 2240 x 1400p, IPS, micro-edge, anti-glare, Low Blue Light, 300 nits, 100% sRGB",9.0,5.83,60.15056733376022
"Lenovo IdeaPad B480 Core i3 2nd Gen 8GB RAM 14"" laptop",12000.0,9.855595667870036,Intel Core i3 2nd Generation,0.8,8.0,4.0,500GB HDD,5.90625,Intel HD 3000,3,"14"" HD LED Display",9.0,5.827550767148015,60.1153226577843
Asus ROG Zephyrus G14 Ryzen 9 5900HS Laptop,120000.0,0.0,AMD Ryzen 9-5900HS,8.03125,16.0,8.0,1TB NVM Express Drive,10.0,AMD Radeon Graphics-8GB with NVIDIA RTX 3060-6GB DDR6 Dedicated,10,"14"" UHD / 2560 x 1440p 120Hz Refresh Rate",9.0,5.809374999999999,59.8537717712581
Lenovo 300e Winbook 81FY Celeron 6th Gen Laptop,12500.0,9.819494584837544,Intel Celeron 6th Gen,2.5999999999999996,4.0,2.0,128GB,6.0,Intel UHD Graphics,4,11.6 inch HD IPS Type,7.8,5.807797833935018,59.83107621298341
